loan_id,married,self_employed,applicant_income,loan_amount,property_area,loan_status
LP1003,Y,N,4583,128.0,Rural,N
LP1005,Y,Y,3000,66.0,City,Y
LP1006,Y,N,2583,120.0,City,Y
LP1008,N,N,6000,141.0,City,Y
LP1011,Y,Y,5417,267.0,City,Y
LP1013,Y,N,2333,95.0,City,Y
LP1014,Y,N,3036,158.0,Suburb,N
LP1018,Y,N,4006,168.0,City,Y
LP1020,Y,N,12841,349.0,Suburb,N
LP1024,Y,N,3200,70.0,City,Y
LP1027,Y,,2500,109.0,City,Y
LP1028,Y,N,3073,200.0,City,Y
LP1029,N,N,1853,114.0,Rural,N
LP1030,Y,N,1299,17.0,City,Y
LP1032,N,N,4950,125.0,City,Y
LP1034,N,N,3596,100.0,City,Y
LP1036,N,N,3510,76.0,City,N
LP1038,Y,N,4887,133.0,Rural,N
LP1041,Y,,2600,115.0,City,Y
LP1043,Y,N,7660,104.0,City,N
LP1046,Y,N,5955,315.0,City,Y
LP1047,Y,N,2600,116.0,Suburb,N
LP1050,Y,N,3365,112.0,Rural,N
LP1052,Y,,3717,151.0,Suburb,N
LP1066,Y,Y,9560,191.0,Suburb,Y
LP1068,Y,N,2799,122.0,Suburb,Y
LP1073,Y,N,4226,110.0,City,Y
LP1086,N,N,1442,35.0,City,N
LP1087,N,,3750,120.0,Suburb,Y
LP1091,Y,,4166,201.0,City,N
LP1095,N,N,3167,74.0,City,N
LP1097,N,Y,4692,106.0,Rural,N
LP1098,Y,N,3500,114.0,Suburb,Y
LP1100,N,N,12500,320.0,Rural,N
LP1109,Y,N,1828,100.0,City,N
LP1112,Y,N,3667,144.0,Suburb,Y
LP1114,N,N,4166,184.0,City,Y
LP1116,N,N,3748,110.0,Suburb,Y
LP1119,N,N,3600,80.0,City,N
LP1120,N,N,1800,47.0,City,Y
LP1123,Y,N,2400,75.0,City,Y
LP1131,Y,N,3941,134.0,Suburb,Y
LP1136,Y,Y,4695,96.0,City,Y
LP1137,N,N,3410,88.0,City,Y
LP1138,Y,N,5649,44.0,City,Y
LP1144,Y,N,5821,144.0,City,Y
LP1146,Y,N,2645,120.0,City,N
LP1151,N,N,4000,144.0,Suburb,Y
LP1155,Y,N,1928,100.0,Suburb,Y
LP1157,N,N,3086,120.0,Suburb,Y
LP1164,N,N,4230,112.0,Suburb,N
LP1179,Y,N,4616,134.0,City,N
LP1186,Y,Y,11500,286.0,City,N
LP1194,Y,N,2708,97.0,Suburb,Y
LP1195,Y,N,2132,96.0,Suburb,Y
LP1197,Y,N,3366,135.0,Rural,N
LP1198,Y,N,8080,180.0,City,Y
LP1199,Y,N,3357,144.0,City,Y
LP1205,Y,N,2500,120.0,City,Y
LP1206,Y,N,3029,99.0,City,Y
LP1207,Y,Y,2609,165.0,Rural,N
LP1213,Y,N,4945,,Rural,N
LP1222,N,N,4166,116.0,Suburb,N
LP1225,Y,N,5726,258.0,Suburb,N
LP1228,N,N,3200,126.0,City,N
LP1233,Y,N,10750,312.0,City,Y
LP1238,Y,Y,7100,125.0,City,Y
LP1241,N,N,4300,136.0,Suburb,N
LP1243,Y,N,3208,172.0,City,Y
LP1245,Y,Y,1875,97.0,Suburb,Y
LP1248,N,N,3500,81.0,Suburb,Y
LP1250,Y,N,4755,95.0,Suburb,N
LP1253,Y,Y,5266,187.0,Suburb,Y
LP1255,N,N,3750,113.0,City,N
LP1256,N,N,3750,176.0,City,N
LP1259,Y,Y,1000,110.0,City,N
LP1263,Y,N,3167,180.0,Suburb,N
LP1264,Y,Y,3333,130.0,Suburb,Y
LP1265,N,N,3846,111.0,Suburb,Y
LP1267,Y,N,1378,167.0,City,N
LP1273,Y,N,6000,265.0,Suburb,N
LP1275,Y,N,3988,50.0,City,Y
LP1279,N,N,2366,136.0,Suburb,Y
LP1280,Y,N,3333,99.0,Suburb,Y
LP1282,Y,N,2500,104.0,Suburb,Y
LP1289,N,N,8566,210.0,City,Y
LP1310,Y,N,5695,175.0,Suburb,Y
LP1316,Y,N,2958,131.0,Suburb,Y
LP1318,Y,N,6250,188.0,Suburb,Y
LP1319,Y,N,3273,81.0,City,Y
LP1322,N,N,4133,122.0,Suburb,Y
LP1325,N,N,3620,25.0,Suburb,Y
LP1326,N,,6782,,City,N
LP1327,Y,N,2484,137.0,Suburb,Y
LP1333,Y,N,1977,50.0,Suburb,Y
LP1334,Y,N,4188,115.0,Suburb,Y
LP1343,Y,N,1759,131.0,Suburb,Y
LP1345,Y,N,4288,133.0,City,Y
LP1349,N,N,4843,151.0,Suburb,Y
LP1367,Y,N,3052,100.0,City,Y
LP1369,Y,N,11417,225.0,City,Y
LP1370,N,,7333,120.0,Rural,N
LP1379,Y,N,3800,216.0,City,N
LP1384,Y,N,2071,94.0,Suburb,Y
LP1385,N,N,5316,136.0,City,Y
LP1387,Y,,2929,139.0,Suburb,Y
LP1391,Y,N,3572,152.0,Rural,N
LP1398,N,,5050,118.0,Suburb,Y
LP1401,Y,N,14583,185.0,Rural,Y
LP1404,Y,N,3167,154.0,Suburb,Y
LP1405,Y,N,2214,85.0,City,Y
LP1421,Y,N,5568,175.0,Rural,N
LP1422,N,N,10408,259.0,City,Y
LP1426,Y,N,5667,180.0,Rural,Y
LP1430,N,N,4166,44.0,Suburb,Y
LP1431,N,N,2137,137.0,Suburb,Y
LP1432,Y,N,2957,81.0,Suburb,Y
LP1439,Y,N,4300,194.0,Rural,Y
LP1443,N,N,3692,93.0,Rural,Y
LP1448,Y,N,23803,370.0,Rural,Y
LP1451,Y,Y,10513,160.0,City,N
LP1465,Y,N,6080,182.0,Rural,N
LP1469,N,Y,20166,650.0,City,Y
LP1473,N,N,2014,74.0,City,Y
LP1478,N,N,2718,70.0,Suburb,Y
LP1482,Y,Y,3459,25.0,Suburb,Y
LP1487,N,N,4895,102.0,Suburb,Y
LP1488,Y,N,4000,290.0,Suburb,N
LP1489,Y,N,4583,84.0,Rural,N
LP1491,Y,Y,3316,88.0,City,Y
LP1492,N,N,14999,242.0,Suburb,N
LP1493,Y,N,4200,129.0,Rural,N
LP1497,Y,N,5042,185.0,Rural,N
LP1498,N,N,5417,168.0,City,Y
LP1504,N,Y,6950,175.0,Suburb,Y
LP1507,Y,N,2698,122.0,Suburb,Y
LP1508,Y,N,11757,187.0,City,Y
LP1514,Y,N,2330,100.0,Suburb,Y
LP1516,Y,N,14866,70.0,City,Y
LP1518,Y,N,1538,30.0,City,Y
LP1519,N,N,10000,225.0,Rural,N
LP1520,Y,N,4860,125.0,Suburb,Y
LP1528,N,N,6277,118.0,Rural,N
LP1529,Y,Y,2577,152.0,Rural,Y
LP1531,N,N,9166,244.0,City,N
LP1532,Y,N,2281,113.0,Rural,N
LP1535,N,N,3254,50.0,City,Y
LP1536,Y,N,39999,600.0,Suburb,Y
LP1541,Y,N,6000,160.0,Rural,Y
LP1543,Y,N,9538,187.0,City,Y
LP1546,N,,2980,120.0,Rural,Y
LP1552,Y,N,4583,255.0,Suburb,Y
LP1560,Y,N,1863,98.0,Suburb,Y
LP1562,Y,N,7933,275.0,City,N
LP1565,Y,N,3089,121.0,Suburb,N
LP1570,Y,N,4167,158.0,Rural,Y
LP1572,Y,N,9323,75.0,City,Y
LP1574,Y,N,3707,182.0,Rural,Y
LP1577,Y,N,4583,112.0,Rural,N
LP1578,Y,N,2439,129.0,Rural,Y
LP1579,N,N,2237,63.0,Suburb,N
LP1580,Y,N,8000,200.0,Suburb,Y
LP1581,Y,,1820,95.0,Rural,Y
LP1585,Y,N,51763,700.0,City,Y
LP1586,Y,N,3522,81.0,Rural,N
LP1594,Y,N,5708,187.0,Suburb,Y
LP1603,Y,Y,4344,87.0,Suburb,N
LP1606,Y,N,3497,116.0,Rural,Y
LP1608,Y,N,2045,101.0,Rural,Y
LP1610,Y,N,5516,495.0,Suburb,N
LP1616,Y,N,3750,116.0,Suburb,Y
LP1630,N,N,2333,102.0,City,N
LP1633,Y,N,6400,180.0,City,N
